,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino
0,00-0000,total,all occupations,139099570,56310,41950,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347
1,11-0000,major,management occupations,7947300,126480,109760,0.31781943546649427,2.7741865977160094,17.695539754363285,24.348200818789053,25.495582848524023,20.46433958198664,8.904330963154493,46.9,40.4,83.4,8.0,5.8,10.7
2,13-0000,major,business and financial operations occupations,8387490,80680,72250,0.33807414315691303,4.9661925856843085,26.124970855677315,22.685940778736303,22.033107950571228,17.370016320820703,6.4933550944276055,43.4,53.9,78.0,10.5,8.7,11.2
3,15-0000,major,computer and mathematical occupations,4587700,96770,91350,0.4104943780117794,5.97893985364983,30.198108156344816,27.039086203819384,19.543101909691238,14.010351597358557,2.8020703194717114,40.6,25.2,65.4,9.1,23.0,8.4
4,17-0000,major,architecture and engineering occupations,2515040,90300,83160,0.47333543704638686,6.5635847270432315,27.137898390659515,21.520984537709058,19.280530135689492,19.312085831492585,5.743136636162827,42.9,16.5,78.0,6.0,13.6,10.6
5,19-0000,major,"life, physical, and social science occupations",1296060,79360,69760,0.430239704978488,8.789182544560541,29.010448678549476,23.66318377381684,18.315918869084204,13.952059004302397,5.838967424708051,40.5,49.3,75.1,6.5,14.9,8.5
6,21-0000,major,community and social service occupations,2231070,52180,47520,0.5520794994479205,5.594405594405594,24.217887375782112,22.892896577107102,20.42694147957306,18.108207581891794,8.207581891792419,43.9,68.8,72.7,19.9,3.4,13.5
7,23-0000,major,legal occupations,1154740,112320,84910,0.10626992561105207,2.975557917109458,20.138150903294367,24.070138150903293,22.316684378320936,18.331562167906483,12.114771519659936,46.5,51.9,83.5,8.6,5.6,8.3
8,25-0000,major,educational instruction and library occupations,8446910,59810,52380,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544914,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304347
9,27-0000,major,"arts, design, entertainment, sports, and media occupations",1857500,64400,53150,2.1367521367521367,7.297830374753452,28.4681130834977,22.0249835634451,17.554240631163708,14.62853385930309,7.856673241288626,41.2,51.3,82.0,8.5,5.9,11.2
10,29-0000,major,healthcare practitioners and technical occupations,8579180,85900,69870,0.5962966837535307,5.1574432472015905,26.927502876869966,24.971231300345224,20.46239146354221,16.152317187990377,5.722355894968093,42.4,74.4,75.6,12.1,9.4,9.4
11,31-0000,major,healthcare support occupations,6440880,32250,29960,2.5887265135699375,12.359081419624218,23.862212943632567,19.206680584551147,18.288100208768267,16.784968684759917,6.8893528183716075,41.0,85.3,64.1,25.3,6.2,20.2
12,33-0000,major,protective service occupations,3351180,52220,43710,2.6455026455026456,7.572751322751323,26.124338624338623,23.71031746031746,20.37037037037037,13.988095238095237,5.588624338624339,41.3,23.6,74.5,19.4,2.5,15.9
13,35-0000,major,food preparation and serving related occupations,11262850,27650,25500,18.776693105552166,20.63758389261745,21.07992678462477,14.490543014032946,11.577181208053691,9.670530811470408,3.767541183648566,29.6,54.4,74.8,13.9,6.4,27.3
14,37-0000,major,building and grounds cleaning and maintenance occupations,4090370,32760,29940,3.4815106215578284,7.356412273800157,17.682926829268293,20.928402832415422,21.931549960660895,21.066089693154996,7.553107789142407,45.3,40.3,78.2,14.2,3.1,37.9
15,39-0000,major,personal care and service occupations,2696340,32610,28120,5.913503971756399,14.945572227125625,20.82965578111209,19.446896145925272,18.711385701676964,12.944983818770227,7.237422771403354,39.1,77.0,72.8,13.2,10.1,16.1
16,41-0000,major,sales and related occupations,13120320,45750,31500,7.044042913608131,11.843591191417278,20.299265951439864,17.666572557876904,18.13946922642575,16.770186335403725,8.243929983060418,41.2,48.7,80.2,10.6,5.5,17.1
17,43-0000,major,office and administrative support occupations,18548360,42390,38720,2.750996272014398,9.866306723229206,22.78570510348374,19.199125851651882,18.96130608047307,19.3790975703818,7.057462398765908,42.9,72.7,77.4,14.3,4.7,17.4
18,45-0000,major,"farming, fishing, and forestry occupations",478770,33310,29670,7.559808612440191,10.909090909090908,19.80861244019139,21.05263157894737,16.45933014354067,15.69377990430622,8.61244019138756,41.0,24.1,90.0,4.3,1.6,43.0
19,47-0000,major,construction and extraction occupations,5937830,53940,48610,2.2697795071335927,8.949416342412452,22.98313878080415,24.708171206225682,21.232166018158235,15.447470817120623,4.422827496757458,41.5,4.0,87.8,7.0,1.6,35.7
20,49-0000,major,"installation, maintenance, and repair occupations",5486930,52360,48750,1.9122120817036072,7.822685788787484,22.620599739243808,22.142546718817904,21.96870925684485,18.75271621034333,4.758800521512386,43.0,4.1,84.0,9.1,3.1,20.8
21,51-0000,major,production occupations,8519410,41760,37440,2.0685111989459815,8.774703557312254,22.64822134387352,20.487483530961793,21.897233201581027,18.998682476943348,5.138339920948616,43.0,28.3,77.8,13.1,5.6,23.6
22,53-0000,major,transportation and material moving occupations,12163360,39680,34080,5.402352941176471,11.689411764705882,21.383529411764705,18.43764705882353,19.256470588235295,17.543529411764705,6.268235294117647,41.4,20.5,72.3,19.4,4.2,23.9
